german,english1,english2
Das ist der Zug nach New York .,This is the train for New York .,This is the train to New York .
"Tom fragte sich , warum er sich setzen sollte .",Tom wondered where he was supposed to sit .,Tom wondered why he should sit down .
"Tom und Maria sagten Johannes , dass sie glaubten , Elke sei bewusstlos .",Tom and Mary told John that they thought Alice was unconscious .,Tom and Mary told John that they believed Elke was unconscious .
Du bist eine gute Gemahlin .,You 're a good wife .,You 're a good wife .
Habt ihr kurz Zeit ?,Do you have a moment ?,Do you have a minute ?
Bitte verbinde diesen Satz mit dem spanischen .,Please link this sentence to Spanish .,Please connect this sentence to the Spanish one .
Bei den Felsen ist es gefährlich .,It 's dangerous by the rocks .,It 's dangerous in the rocks .
Sie ist ein nervliches Wrack .,She 's a nervous wreck .,She 's a nervous wreck .
Er fuhr mit den Fingern durch ihr Haar .,He ran his fingers through her hair .,He was driving his fingers through her hair .
Er kam nackt aus der Dusche .,He came out of the shower naked .,He came out of the shower naked .
"Jeder sagt , dass er ein guter Mensch ist .",Everyone says that he 's a good man .,Everyone says he 's a good person .
Tom sieht schüchtern aus .,Tom looks bashful .,Tom looks shy .
Haben Sie sich die Haare gewaschen ?,Did you wash your hair ?,Did you wash your hair ?
Ich tat es einfach lachend ab .,I just laughed it off .,I just put it off laughing .
Ich bringe dich zum Wagen .,I 'll see you to your car .,I 'll take you to the car .
Sie sollten die Dinge ernster nehmen .,You should take things more seriously .,You should take things more seriously .
Halte die Augen offen .,Keep your eyes open .,Keep your eyes open .
Kommen Sie aus England ?,Are you from England ?,Are you from England ?
Ich bin Chauffeur .,I 'm a chauffeur .,I 'm a chauffeur .
Du gehst entweder mit mir oder mit ihm .,"You either go with me , or with him .",You either go with me or with him .
"Wie lange haben Sie gebraucht , um das Buch zu lesen ?",How long did it take for you to read this book ?,How long did it take you to read the book ?
"Das liegt daran , dass Englisch eine Weltsprache ist .",This is due to English being a world language .,This is because English is a world language .
Wir verstehen uns .,We have an understanding .,We understand each other .
Nichts zu tun ist die schwierigste Sache der Welt ; die schwierigste und die intellektuellste .,"Doing nothing is the most difficult thing in the world , the most difficult and the most intellectual .",Nothing to do is the most difficult thing in the world ; the most difficult and the most intellectual .
Er gab mir eine vage Antwort .,He gave a vague answer .,He gave me a vague answer .
Der Polizist gab dem Fahrer die Schuld an dem Unfall .,The policeman blamed the accident on the driver .,The cop blamed the driver for the accident .
Haben Sie gestern Tennis gespielt ?,Did you play tennis yesterday ?,Did you play tennis yesterday ?
"Ich sah an alles Tun , das unter der Sonne geschieht ; und siehe , es war alles eitel und Haschen nach dem Wind .","I have seen everything done in this world , and I tell you , it is all useless . It is like chasing the wind .","I saw all the work that is done under the sun ; and behold , it was all vanity , and the raging of the wind ."
Die Flanke des Hauses war von Efeu bedeckt .,The side of the house was covered with ivy .,The flank of the house was covered by Efeu .
Dieses Auto fährt 60 Kilometer pro Stunde .,This car is going 60km an hour .,This car is driving 60 kilometers an hour .
"Mac spart Geld , weil er sich einen neuen Mustang kaufen will .","Since Mac wants to buy a new Mustang , he is saving money .",Mac saves money because he wants to buy a new Mustang .
"Tom bat die Kellnerin , ihm Kaffee nachzuschenken .",Tom asked the waitress to refill his coffee .,Tom asked the waitress to give him some coffee .
Sie hätten Tom vielleicht die Wahrheit sagen sollen .,Maybe they should 've told Tom the truth .,You might have told Tom the truth .
Bedauerlicherweise war Tom zur falschen Zeit am falschen Ort .,"Unfortunately , Tom was in the wrong place at the wrong time .","Unfortunately , Tom was in the wrong place at the wrong time ."
Ich gab ihr ihr Wörterbuch zurück .,I gave her her dictionary back .,I gave her her dictionary back .
Wozu benutzt man das ?,What 's it for ?,What do you use it for ?
"Ich dachte , Sie wollten nicht gehen .",I thought you didn 't want to go .,I thought you didn 't want to go .
Tom füllte die Flasche mit Wasser .,Tom filled the bottle with water .,Tom filled the bottle with water .
Er geht praktisch niemals in die Kirche .,"He seldom , if ever , goes to church .",He 's practically never going to church .
Sie warf ein Kissen nach ihm .,She threw a pillow at him .,She threw a pillow at him .
""" Hast du deine Hausübungen gemacht ? "" - "" Ich hab keine auf "" .",""" Have you done your homework ? "" "" I don 't have any homework . """,""" Did you do your house exercises ? "" - "" I don 't have any on . """
Toms Freunde lachten mich alle aus .,Tom 's friends were all laughing at me .,Tom 's friends all laughed at me .
Ich langweilte mich und schlief ein .,I was bored and I fell asleep .,I was bored and I fell asleep .
"Es gibt Fälle , in denen es in Ordnung ist , ein Versprechen zu brechen oder zu lügen .",There are conditions under which breaking a promise or telling a lie are acceptable .,There are cases where it 's okay to break a promise or lie .
Der Zug wird um zehn Uhr ankommen .,The train will arrive at ten o 'clock .,The train will arrive at 10 : 00 .
"Ich werde Ihnen helfen , Ihr Potential zu erkennen .",I 'll help you realize your potential .,I will help you to see your potential .
Ich möchte mich auf Brustkrebs untersuchen lassen .,I 'd like to have a test for breast cancer .,I 'd like to be examined for breast cancer .
Ich habe mir ein Paar Schuhe gekauft .,I 've bought me a pair of shoes .,I bought a pair of shoes .
Was ist los ?,What gives ?,What 's going on ?
"Die Jugend heutzutage glaubt , dass jedes Problem im Leben genauso einfach zu lösen ist , wie man ein Computerspiel neu startet .",Kids these days think that any issue in life can be resolved as easily as restarting a computer game .,The youth today believe that every problem in life is as easy to solve as to start a computer game .
"Ich sagte niemandem , wann ich ankäme .",I didn 't tell anyone what time I 'd be arriving .,I didn 't tell anyone when I was coming .
"In diesem Fall denke ich , dass er Recht hat .","In this case , I think he is correct .","In this case , I think he 's right ."
"Es ist unmöglich , dass sie davon wusste .",It 's impossible that she knew about it .,It 's impossible she knew about it .
Das kann jeden Moment geschehen .,It may occur at any moment .,This can happen any minute .
Sie antwortete nicht .,She didn 't answer .,She didn 't answer .
Nehmen Sie dieses Medikament alle vier Stunden ein .,Take this medicine every four hours .,Take this medicine every four hours .
Rauchen ist streng verboten .,Smoking is strictly prohibited .,Smoking is strictly forbidden .
Der Tod wird manchmal mit dem Schlaf verglichen .,People sometimes compare death to sleep .,Death is sometimes compared to sleep .
Tom ist ein böser Junge .,Tom is a bad boy .,Tom is a bad boy .
Ihre Geburtstagsfeier findet morgen Abend statt .,Her birthday party will be held tomorrow evening .,Your birthday party is tomorrow night .
"Sorge dafür , dass dieser Brief auf jeden Fall eingeworfen wird .",See to it that this letter is posted without fail .,Make sure that this letter is definitely filed .
Ich nehme sie nicht ernst .,I don 't take them seriously .,I don 't take her seriously .
Es war ein bewegender Anblick .,It was a moving sight .,It was a moving sight .
Das hast du richtig gut gemacht .,You did that really well .,You did really well .
Abschreiber !,Copier !,Ensign !
"Es war dumm von ihm , ihr Angebot abzulehnen .",It was foolish for him to turn down her offer .,It was stupid of him to reject her offer .
Lass uns schwimmen gehen .,Let 's go swimming .,Let 's go for a swim .
"Ich freue mich darauf , mit meinem Vater auf die Jagd zu gehen .",I 'm looking forward to going hunting with my father .,I look forward to going hunting with my father .
Ich habe über dich geredet .,I was talking about you .,I was talking about you .
Der alte Mann ist auf einem Auge blind .,The old man is blind in one eye .,The old man is blind on one eye .
Meine Haut ist trocken .,My skin is dry .,My skin is dry .
Ich bin nicht böse !,I 'm not angry !,I 'm not evil !
Könntest du bitte dieses T @-@ Shirt für mich bügeln ?,"Can you iron this T @-@ shirt for me , please ?","Could you iron this t @-@ shirt for me , please ?"
Die Buchhandlung ist geöffnet .,The bookstore is open .,The bookstore is open .
Dieses Wörterbuch ist in erster Linie für Schüler in der Oberstufe gedacht .,This dictionary is primarily intended for high school students .,This dictionary is primarily intended for high school students .
Wir haben alle Vertrauen zu euch .,We all trust you .,We all have faith in you .
Keiner glaubt ihm .,No one believes him .,No one believes him .
Es sind mehr als 50000 Bücher in dieser Bibliothek .,"There are more than 50,000 books in this library .",There are more than 50000 books in this library .
Maria ist aber hübsch !,"Mary is pretty , isn 't she ?",Maria is beautiful !
Arbeitet ihr heute ?,Are you working today ?,Are you working today ?
Wir waren sehr hungrig .,We were very hungry .,We were very hungry .
Das lässt sich umgehen .,That 's avoidable .,It can be handled .
Waffen töten keine Menschen . Menschen töten Menschen .,Guns don 't kill people . People kill people .,"Weapons don 't kill people , people kill people ."
Die meisten Menschen hier haben keinen Strom .,Most people around here have no electricity .,Most people here have no power .
"Es stellte sich heraus , dass sie gelogen hatte .",It became clear that she had told a lie .,Turns out she was lying .
Es gibt keine stachellose Rose .,There is no rose without thorns .,There 's no stochelless rose .
Wir haben lange auf diesen Tag gewartet .,We 've waited a long time for this day .,We 've been waiting a long time for this day .
"Tom hat erst angefangen Französisch zu lernen , als er dreißig war .",Tom didn 't start to study French until he was thirty .,Tom only started to learn French when he was thirty .
Verstehe mich bitte nicht falsch !,Please don 't misunderstand me .,"Don 't get me wrong , please !"
Sie hat mich geküsst .,She kissed me .,She kissed me .
"Wenn euch das nicht passt , sprecht mit dem Chef !","If you have a problem with that , talk to the boss .","If you don 't like it , talk to the boss !"
Du musst Französisch lernen .,You need to learn French .,You have to learn French .
Davon habe ich gar nicht geredet .,That 's not what I was talking about .,That 's not what I was talking about .
Wo ist die Kasse ?,Where is the ticket office ?,Where 's the cash register ?
"Das Eis war dick genug , um mich beim Gehen zu tragen .",The ice was thick enough for me to walk on .,The ice was thick enough to carry me walking .
"Es hat keinen Zweck , noch länger auf sie zu warten .",There is no use waiting for her any longer .,It 's no use waiting for her any longer .
Alle waren erschrocken .,Everybody was startled .,They were all scared .
Habt ihr einen Lieblingssänger ?,Do you have a favorite singer ?,Do you have a favorite singer ?
"Tom beschloss , sich einen neuen Rechner zu kaufen .",Tom decided to buy a new computer .,Tom decided to buy a new computer .
Das sind die Ausnahmefälle .,They are the extreme cases .,These are the exceptional cases .
Denk an deine Familie !,Think of your family .,Think of your family !
Am Ende dieser Straße befindet sich eine Bibliothek .,At the end of this street is a library .,At the end of this street there is a library .
Tom findet Maria richtig süß .,Tom thinks Mary is very cute .,Tom thinks Maria is really cute .
"Sobald sie mich sah , begrüßte sie mich mit einem Lächeln .","As soon as she saw me , she greeted me with a smile .","As soon as she saw me , she greeted me with a smile ."
Lisa und Markus gerieten in Panik und nahmen Reißaus .,Liisa and Markku were panic @-@ stricken and took to their heels .,Lisa and Markus panicked and took zippers .
"Hat Marika dir gezeigt , wie man Kühe melkt ?",Did Marika show you how to milk cows ?,Did Marika show you how to milk cows ?
Komm nicht zu spät auf Arbeit !,Don 't be late for work .,Don 't be late for work !
Fasst meine Sachen nicht an !,Don 't touch my stuff !,Don 't touch my things !
Diese Frucht hat einen widerlichen Geruch .,This fruit smells nasty .,This fruit has a disgusting smell .
Das ist nun nicht so ganz richtig .,"Well , that 's not quite true .",That is not quite right .
Tom spielt jeden Montag Golf .,Tom plays golf every Monday .,Tom plays golf every Monday .
"Sagt mir , wann es sich ereignet hat !",Tell me when it came about .,Tell me when it happened !
Sie ist mit ihren Freunden weggegangen .,She left with her friends .,She left with her friends .
Tom hatte eine Menge Glück .,Tom was really lucky .,Tom had a lot of luck .
"Wie kommst du dazu zu denken , du wärest besser als ich ?",What makes you think you 're better than me ?,How come you think you 're better than me ?
Nicht alle Kinder mögen Äpfel .,Not all children like apples .,Not all children like apples .
"Es gibt keinen Beweis dafür , dass die Erzählung auf seiner eigenen Erfahrung beruht .",There is no evidence that the story is based on his own experience .,There is no proof that the story is based on its own experience .
Ihr habt mich fast verpasst .,You almost missed me .,You almost missed me .
"Verstehst du , was ich meine ?",Do you understand what I mean ?,Do you understand what I mean ?
Solltet ihr nicht zu Hause bei eurer Mutter sein ?,Shouldn 't you be at home with your mother ?,Shouldn 't you be home with your mother ?
Du hast mein Leben zunichte gemacht .,You ruined my life .,You 've ruined my life .
"Wir wussten nicht , was wir sonst noch tun sollten .",We didn 't know what else to do .,We didn 't know what else to do .
"Ich weiß nicht , wie ich dir diese Summe zahlen soll .",I don 't know how to pay you this amount of money .,I don 't know how to pay you that sum .
Könnte das Toms Tochter sein ?,Could she be Tom 's daughter ?,Could that be Tom 's daughter ?
Ich habe immer noch Durst .,I 'm still thirsty .,I 'm still thirsty .
Dafür werde ich nicht bezahlt .,I 'm not being paid for this .,I don 't get paid for it .
Das Problem ist fast gelöst .,The problem is as good as settled .,The problem is almost solved .
Ihr seid unglaublich .,You guys are amazing .,You 're incredible .
Ich habe zu viel Kaffee getrunken .,I 've been drinking too much coffee .,I 've had too much coffee .
"Um Mitternacht vergaß der Vampir , dass er auf Diät war .","At midnight , the vampire forgot he was on a diet .","At midnight , the vampire forgot he was on a diet ."
Sie haben meine Flasche Wein gestohlen !,They stole my wine bottle !,You stole my bottle of wine !
"Ich traue mich nicht , diesen Frosch anzufassen .",I wouldn 't dare to touch that frog .,I don 't dare touch that frog .
Er hat ihren Witz nicht verstanden .,He didn 't get her joke .,He didn 't understand her joke .
"Ich kann mich nicht dazu durchringen , so etwas zu tun .",I can 't bring myself to do such a thing .,I can 't get through doing this .
Vor Gram ergrauten ihre Haare .,Her hair grayed with suffering .,Her hair was greedy in the face of grief .
Überprüfen Sie das .,Check this .,Check it out .
Tom hat alle gerettet .,Tom saved everybody .,Tom saved everyone .
Ich suche einen neuen Arbeitsplatz .,I 'm looking for a new job .,I 'm looking for a new job .
Sie sind übergewichtig .,You 're overweight .,They 're overweight .
"Er kann kein Englisch , geschweige denn Französisch , sprechen .","He cannot speak English , much less French .","He can 't speak English , let alone French ."
In diesem Jahr fällt der Valentinstag auf einen Donnerstag .,"This year , Valentine 's Day falls on a Thursday .",This year Valentine 's Day falls on a Thursday .
Sie sammelten Muscheln am Strand .,They collected shells on the beach .,They collected shellfish on the beach .
Um einen Teich am Ende des Tals scharten sich die farbenfrohen Holzhäuser eines idyllischen Städtchens .,Around a mere at the end of the valley were gathered the brightly coloured wooden houses of an idyllic little town .,Around a pond at the end of the valley are the colourful wooden houses of an idyllic town .
Tom kehrte nach Boston zurück .,Tom returned to Boston .,Tom returned to Boston .
"Tom ist kein so guter Schachspieler , wie er glaubt .",Tom is not as good a chess player as he thinks he is .,Tom 's not as good a chess player as he thinks he is .
"Warum hast du Tom gesagt , dass Maria ihn nicht mag ?",Why did you tell Tom Mary didn 't like him ?,Why did you tell Tom that Maria didn 't like him ?
Sie waren ungewöhnlich still .,You 've been unusually quiet .,They were unusually quiet .
Wie viel haben die Fahrkarten gekostet ?,How much did the tickets cost ?,How much did the tickets cost ?
Der Sphinx ist die größte Statue in Ägypten .,The Sphinx is the largest statue in Egypt .,The Sphinx is the largest statue in Egypt .
"Ich werde Ihnen helfen , sobald ich das hier getan habe .",I 'll help you as soon as I 've done that .,I 'll help you as soon as I do this .
"Ich glaube , dass ich Schüsse wohl gehört hätte , wenn es welche gegeben hätte .",I think I would have heard gunshots if there had been any .,I think I might have heard shots if there had been .
Tom schlief tief und fest ein .,Tom fell into a deep sleep .,Tom fell asleep deep and firm .
Irren ist menschlich .,To err is human .,Crazy people are human .
Tom kam beinahe selbst ums Leben .,Tom was nearly killed himself .,Tom was almost killed by himself .
Dieses Paar Schuhe ist eine Nummer größer .,This pair of shoes is a size larger .,This pair of shoes is a number bigger .
Entschuldige meine Ungeschicklichkeit .,Pardon my clumsiness .,I 'm sorry for my inskill .
Warum ist dein Kopf blau ?,Why is your head blue ?,Why is your head blue ?
Wir trauen ihm .,We trust him .,We trust him .
Man sollte zwischen den Zeilen lesen .,You should read between the lines .,You should read between the lines .
"Wusstet ihr , dass Tom einmal Französischlehrer war ?",Did you know Tom used to be a French teacher ?,Did you know that Tom was a French teacher once ?
"Der Hausherr erlaubt ihm nicht , die Tür rot anzustreichen .",The landlord won 't permit him to paint the door red .,The master of the house does not allow him to paint the door in red .
"Tom und Maria haben Johannes gesagt , sie seien neugierig .",Tom and Mary told John that they were curious .,Tom and Mary told John they were curious .
Gleich um die Ecke !,Right around the corner !,Right around the corner !
Hilf mir mal bitte .,Please give me a hand .,"Help me , please ."
Ist dies der richtige Zug nach Tokio ?,Is this the right train for Tokyo ?,Is this the right train to Tokyo ?
Wer hat ihn weggeräumt ?,Who removed it ?,Who put it away ?
Ich helfe Ihnen dabei .,I 'm going to help you do that .,I 'll help you with that .
Das Telefongespräch dauerte sechs Stunden .,The telephone call lasted six hours .,The phone call took six hours .
Er kommt bestimmt nicht .,He 's definitely not coming .,He 's not coming .
"Tom und Maria haben Johannes gesagt , dass sie Angst hätten .",Tom and Mary told John that they were frightened .,Tom and Maria told John they were afraid .
Sind das eure Taschen ?,Are those your bags ?,Are those your bags ?
Ich komme eine Stunde später .,I 'll be arriving an hour late .,I 'll be here an hour later .
Etwas stimmt hier überhaupt nicht .,Something 's really weird here .,Something 's not right at all .
Ich muss sofort mit euch sprechen .,I need to speak with you right away .,I need to talk to you right now .
Emily ist eine Staatsbürgerin Australiens .,Emily is an Australian citizen .,Emily is an Australian citizen .
"Ich beeilte mich , um den ersten Zug zu kriegen .",I hurried in order to catch the first train .,I hurried to get the first train .
Diese Uhr geht nicht mehr .,This clock isn 't working .,This watch can 't go on .
Das war ein magischer Moment .,It was a magical moment .,It was a magical moment .
"Manche Leute sagen , Japan ist eine von Männern dominierte Gesellschaft .",Some people say Japan is a male @-@ dominated society .,Some people say Japan is a man @-@ dominated society .
Tom wird am Montag zu Grabe getragen .,Tom will be buried on Monday .,Tom is being carried to the grave on Monday .
Kann ich bitte ein Glas Milch bekommen ?,"Can I have a glass of milk , please ?","Can I have a glass of milk , please ?"
Was isst du zum Frühstück ?,What do you have for breakfast ?,What are you eating for breakfast ?
"Ich hasse Zitate . Sag mir , was du weißt .",I hate quotations . Tell me what you know .,"I hate quotes , tell me what you know ."
"Das ist das Medikament , von dem ich euch erzählte .",This is the medicine I was telling you about .,This is the medicine I told you about .
Tom scheint nichts Gutes im Schilde zu führen .,Tom looks like he 's up to no good .,Tom doesn 't seem to be doing anything good .
"Sobald ich Gelegenheit habe , werde ich auf einen Besuch vorbeikommen .","As soon as I can get the chance , I 'll come for a visit .","As soon as I get a chance , I 'll come by for a visit ."
Sie sollten keinen Umgang pflegen mit so einem gemeinen Menschen .,You must not keep company with such a mean fellow .,You shouldn 't be dealing with such a mean person .
Diese Maschine ist kaputt .,This machine is out of order .,This machine is broken .
Er wurde bei einem Verkehrsunfall verwundet .,He got injured in a traffic accident .,He was wounded in a traffic accident .
Wie oft wascht ihr euch die Haare ?,How often do you wash your hair ?,How many times do you wash your hair ?
Sie schnitt den Apfel in zwei Teile .,She cut the apple in two .,She cut the apple into two parts .
Tom ist wirklich ein guter Arbeiter .,Tom is really a good worker .,Tom is really a good worker .
"Was meinst du mit "" Weißer Angelsachse "" ? Hat es jemals schwarze , gelbe oder rote Angelsachsen gegeben ?","What do you mean by ' White Anglo @-@ Saxon ' ? Have there ever been any black , yellow or red Anglo @-@ Saxons ?","What do you mean , "" white fishing axis "" ? Has there ever been black , yellow or red fishing axes ?"
Er ist reicher als jeder andere in der Stadt .,He is richer than anybody else in town .,He 's richer than anyone in town .
Wohin ist sie gegangen ?,Where has she gone ?,Where did she go ?
Wann warst du das letzte Mal am Strand ?,When was the last time you went to the beach ?,When was the last time you were on the beach ?
"Sie lachte , um ihre Angst zu verbergen .",She laughed to cover her fear .,She laughed to hide her fear .
"Jetzt ist es Zeit , unseren Plan auszuführen .",Now is the time to carry out our plan .,Now it 's time to run our plan .
Hallo . Ich bin Nancy .,Hello . I 'm Nancy .,"Hello , I 'm Nancy ."
Wann wurde Ihre Tochter erwachsen ?,When did your daughter become an adult ?,When did your daughter grow up ?
Ich bin geil .,I 'm horny .,I 'm horny .
Isst du lieber Reis oder Brot ?,"Which do you like better , rice or bread ?",Do you rather eat rice or bread ?
Tom und Maria können sich Namen nicht mehr so gut wie früher merken .,Tom and Mary don 't remember people 's names as well as they used to .,Tom and Maria can 't remember names as well as they used to .
"Ärgerst du dich , dass ich hier bin ?",Do you resent my being here ?,Are you upset that I 'm here ?
"Er sagte mir , er kenne euch .",He told me he knew you .,He told me he knew you .
Ich spiele das ganze Jahr über Tennis .,I play tennis all the year around .,I play tennis all year round .
"Sie wollte nur die bestrafen , die verantwortlich waren .",She wished to punish only those responsible .,She was just trying to punish those who were responsible .
Manche Leute stellen das Erreichen der Terminvorgabe über das Erzielen der besten Arbeitsqualität .,Some people prize meeting the deadline over producing the highest standard of work .,Some people set the deadline for achieving the best quality of work .
Ist es so etwas wie meines ?,Is it anything like mine ?,Is it something like mine ?
Soll ich dir die Schultern massieren ?,Do you want me to massage your shoulders ?,You want me to massage your shoulders ?
Warum hilft Tom nicht ?,Why isn 't Tom helping ?,Why isn 't Tom helping ?
Langsam wird sie älter .,She 's getting older .,She 's getting older .
Tom steckt eindeutig in der Klemme .,Tom is clearly in trouble .,Tom 's clearly in trouble .
"Sie versuchte , über die Runden zu kommen .",She tried to make both ends meet .,She tried to get over it .
Takeshi führt Tagebuch auf Englisch .,Takeshi keeps a diary in English .,Takeshi has a diary in English .
"Ich hoffe , dass es eurem Bruder besser geht .",I hope your brother is better .,I hope your brother is better .
"Ich bin hier , weil ich deine Hilfe brauche .",I 'm here because I need your help .,I 'm here because I need your help .
Wegen der Scheidung seiner Eltern hatte das Mädchen nur wenig Kontakt zu ihrem Vater .,"Because the parents divorced , the girl had little contact with the father .","Because of the divorce of his parents , the girl had little contact with her father ."
Tom kehrte nicht zurück .,Tom didn 't return .,Tom didn 't return .
"Tom dachte , er hätte das perfekte Versteck für seine Goldmünzen gefunden , aber er irrte sich .","Tom thought where he put his gold coins was the perfect hiding place . However , he was wrong .","Tom thought he found the perfect place to hide his gold coins , but he was wrong ."
"Ich glaube nicht , dass das Kind allein nach Tokio gekommen ist .",I don 't believe the child came to Tokyo alone .,I don 't think the child came to Tokyo alone .
"Ich wusste nicht , dass Tom so einsam ist .",I didn 't know Tom was so lonely .,I didn 't know Tom was so lonely .
Besser ein Vogel in der Hand als zehn in der Luft .,A bird in the hand is worth two in the bush .,Better a bird in the hand than ten in the air .
"Ich fragte Tom , was er höre , und er überraschte mich , denn er sagte , er höre klassische Musik .",I asked Tom what he was listening to and he surprised me by saying that he was listening to classical music .,"I asked Tom what he heard , and he surprised me , because he said he heard classical music ."
Ich bin betrunken .,I am drunk .,I 'm drunk .
Hat Tom euch das gegeben ?,Did Tom give it to you ?,Did Tom give you this ?
Ich habe eine leichte Erkältung .,I have a slight cold .,I have a slight cold .
Heute gibt es keine Aussicht auf Regen .,There is no chance of rain today .,Today there is no view of rain .
"Tom hat eine Tante , die im Gefängnis sitzt .",Tom has an aunt who is in prison .,Tom has an aunt in prison .
"Stört es dich , wenn ich rauche ?",Do you mind my smoking ?,Do you mind if I smoke ?
Bitte sag niemandem etwas davon !,Please don 't tell anyone about this .,Please don 't tell anyone !
"Hat Tom noch etwas gesagt , bevor er starb ?",Did Tom say anything before he died ?,Did Tom say anything before he died ?
Entspann dich einfach und genieß die Zeit !,Just relax and have fun .,Just relax and enjoy the time !
"Wir nutzten das gute Wetter aus , um Tennis zu spielen .",We took advantage of the good weather to play tennis .,We used the good weather to play tennis .
Plötzlich ging das Licht aus .,"Suddenly , the light went out .",Suddenly the light went out .
Er hatte eine Maske an .,He was wearing a mask .,He was wearing a mask .
"Gibt es etwas , was du möchtest ?",Is there something that you want ?,Is there anything you want ?
Er hat die Angreifer mit einem Maschinengewehr zurückgehalten .,He kept the invaders at bay with a machine gun .,He held the attackers back with a machine gun .
Es ist zu heiß .,It is too hot .,It 's too hot .
Ich lebe in Kasachstan .,I live in Kazakhstan .,I live in Kazakhstan .
Einige der Vögel flogen nicht .,Some of the birds didn 't fly .,Some of the birds did not fly .
Tom saß auf dem Sofa und blätterte in einer Zeitschrift .,"Tom sat on the sofa , flipping through the pages of a magazine .",Tom sat on the sofa and was in a magazine .
Diese Klasse besteht aus 15 Jungs und 28 Mädchen .,This class consists of 15 boys and 28 girls .,This class consists of 15 boys and 28 girls .
Das kommt bei uns immer wieder vor .,This happens to us all the time .,It happens to us over and over again .
"Versuche einfach , ruhig zu bleiben !",Just try and stay calm .,Just try to stay calm !
"Warum sagst du mir denn nicht , dass ich schön bin ?",Why aren 't you telling me that I 'm beautiful ?,Why don 't you tell me I 'm beautiful ?
Tom schnallte sich ab .,Tom unbuckled his seatbelt .,Tom was buckling off .
"Tom wirkt nicht erfreut , dich zu sehen .",Tom doesn 't look happy to see you .,Tom doesn 't seem happy to see you .
Tom und ich sind Cousin und Cousine .,Tom and I are cousins .,Tom and I are a cousin and a cousin .
"Er machte sich anheischig , ihr zu helfen .",He offered to help her .,He made himself hideous to help her .
Die Zwillingsschwestern gleichen sich wie zwei Tropfen Wasser .,The twin sisters are alike as two peas in a pod .,The twin sisters are like two drops of water .
Tom scheint ein sehr fähiger Mann zu sein .,Tom seems like a very capable man .,Tom seems to be a very capable man .
Du hast gar nichts gesagt .,You didn 't say a word .,You didn 't say anything .
"Das Feuer war zu heiß , die Kuchen sind ja unten ganz schwarz gebrannt .","The fire was too hot , and the cakes were burned quite black on the bottom .","The fire was too hot , the cakes were burned down all black ."
Seid fruchtbar und mehret euch .,Be fruitful and multiply .,Be fruitful and multiply .
Es gibt keinen Raum für Zweifel an seiner Schuld .,His guilt leaves no room for doubt .,There is no room for doubt about his guilt .
Er sah aus wie ein Reh im Banne eines Scheinwerferlichts .,He looked like a deer caught in the headlights .,He looked like a deer in the bank of a headlight .
"Versucht , nicht zu fallen .",Try not to fall .,Try not to fall .
Wer ist der Autor dieses Buchs ?,Who is the author of this book ?,Who is the author of this book ?
"Meine Eltern wollten , dass ich studiere .",My parents wanted me to go to college .,My parents wanted me to study .
Tom verkroch sich unter dem Bett .,Tom hid under the bed .,Tom was hiding under the bed .
Könnte ich einmal kurz mit Ihnen sprechen ?,Can I talk to you for a second please ?,Can I talk to you for a second ?
"Ich habe keine Ahnung , wo Tom das Geld versteckt hat .",I have no idea where Tom hid the money .,I have no idea where Tom hid the money .
Ich werde mit den Konsequenzen leben .,I 'll live with the consequences .,I will live with the consequences .
Ich habe nichts unterschrieben .,I didn 't sign anything .,I didn 't sign anything .
Ich war bereits dreimal in Kyoto .,I have visited Kyoto three times .,I 've been to Kyoto three times .
Tom nahm seine künstlichen Zähne heraus .,Tom took out his false teeth .,Tom took out his artificial teeth .
Nicht jede dieser Entscheidungen wird von allen begrüßt .,Not all of these decisions are welcome by all .,Not each of these decisions is welcomed by all .
Wir schmücken das Sitzungszimmer .,We are decorating the conference room .,We 'll decorate the meeting room .
Maria zwinkerte .,Mary blinked her eyes .,Maria wink .
"Ich habe mindestens fünf Freunde , die Englisch sprechen .",I have at least five friends who can speak English .,I have at least five friends who speak English .
"Sie glauben , dass Tom Maria bis nach Hause verfolgt und sie getötet habe .",They think that Tom followed Mary home and killed her .,They think Tom 's been following Maria all the way home and killing her .
"Er erklärte Mary , warum er zu spät zu ihrer Geburtstagsfeier kam .",He explained to Mary why he was late for her birthday party .,He explained to Mary why he was late for her birthday party .
"Egal was ich sage , immer widerspricht sie mir .","It doesn 't matter what I say , she always contradicts me .","No matter what I say , she always contradicts me ."
Sie fiel herunter und brach sich das linke Bein .,She fell down and broke her left leg .,She fell down and broke her left leg .
"Als ihn seine Frau verließ , drehte Harold durch .","After his wife left him , Harold went nuts .","When his wife left , Harold went crazy ."
Das ist auch nicht wahr .,That 's not true either .,That 's not true either .
Er beschwert sich ständig über seinen niedrigen Lohn .,He is always complaining about his low salary .,He 's always complaining about his low pay .
"Helium , Neon , Argon , Krypton , Xenon und Radon sind Edelgase .","Helium , neon , argon , krypton , xenon and radon are noble gases .","Helium , Neon , Argon , Krypton , Xenon and Radon are noble gases ."
Tom verbessert sich .,Tom is improving .,Tom 's improving .
Wir glauben an die Demokratie .,We believe in democracy .,We believe in democracy .
Er arbeitete bis weit in die Nacht .,He worked far into the night .,He worked far into the night .
